Date,Description,Province,City,Industry,Sub Industry,Company Name,Company Ownership,Action Type,Number Of Participants,Employees Demands,Response to Collective Actions
2021-05-19,"Workers protest against wage arrears of a construction site in Chengdu, Sichuan",Sichuan,Chengdu,Construction,,,SOE,Protest,1-100,Wage Arrears,Negotiations with Management
2021-05-19,"Workers protest against wage arrears, mediated by the government, in Teng, Guangxi",Guangxi,Wuzhou,Construction,Interior Decoration,,Private Enterprise,Protest,1-100,Wage Arrears,Government Intervention/Negotiations with Management
2021-05-18,"Workers protest against wage arrears of a wine company in Chengdu, Sichuan",Sichuan,Chengdu,Manufacturing,Agricultural and Food Processing,,Private Enterprise,Protest,1-100,Wage Arrears,
2021-05-17,"Workers protest against wage arrears by threatening to jump off building in Nanyang, Henan",Henan,Nanyang,Construction,,,Unknown,Protest/Threaten to Jump,1-100,Wage Arrears,Government Intervention/Negotiations with Management/Police
2021-05-17,"Workers protest against wage arrears of a construction site in Handan, Hebei",Hebei,Handan,Construction,,,Private Enterprise,Protest,1-100,Wage Arrears,Negotiations with Management
2021-05-16,"Taxi drivers go on strike to protest against illegal motors in Yuanling, Hunan",Hunan,Huaihua,Transport&Logistics,Taxi,,Private Enterprise,Strike/Protest/Block Road,101-1000,Management Supervision/Other,
2021-05-15,"Workers protest against wage arrears of a construction site in Shenzhen, Guangdong",Guangdong,Shenzhen,Construction,Commercial Property,,SOE,Protest,101-1000,Wage Arrears,Government Intervention/Negotiations with Management/Police
2021-05-15,Workers go on strike to protest against wage arrears of a bar in Shanghai,Shanghai,Shanghai,Services,"Sports and leisure including spa, nail salon etc",,Private Enterprise,Strike/Protest,1-100,Wage Arrears,
2021-05-15,"Workers protest against wage arrears of a construction site in Xianyang, Shaanxi",Shanxi,Xianyang,Construction,,,Private Enterprise,Protest,1-100,Wage Arrears,Negotiations with Management
2021-05-13,"Taxi drivers protest against Didi in Yichang, Hubei",Hubei,Yichang,Transport&Logistics,Taxi,,Private Enterprise,Protest,1-100,,Government Intervention
2021-05-12,"Workers protest against wage arrears of a clothe company in Huangshi, Hubei",Hubei,Huangshi,Manufacturing,Apparel,,Private Enterprise,Protest,1-100,Wage Arrears,Government Intervention/Negotiations with Management
2021-05-12,"Workers protest against wage arrears of a construction project, mediated by the court, in Tanghe, Henan",Henan,Nanyang,Construction,Residential Property,,Private Enterprise,Protest,1-100,Wage Arrears,Government Intervention/Negotiations with Management/Police
2021-05-11,"Workers sued the construction company for wage arrears in Linquan, Anhui",Anhui,Fuyang,Construction,,,Private Enterprise,Protest,101-1000,Wage Arrears,Government Intervention/Negotiations with Management
2021-05-11,"Workers protest against wage arrears of a milk tea shop by threatening to jump off building in Guangzhou, Guangdong",Guangdong,Guangzhou,Services,Hotels & catering,,"HK, Taiwan, Macau",Protest/Threaten to Jump,1-100,Wage Arrears,
2021-05-11,"Taxi drivers protest against high fees and demand for property rights in Baicheng, Jilin",Jilin,Baicheng,Transport&Logistics,Taxi,,Private Enterprise,Protest,101-1000,Management Supervision/Other,
2021-05-10,"Workers protest against wage arrears of  a construction project in Jinan, Shandong",Shandong,Jinan,Construction,Commercial Property,,Private Enterprise,Protest,1-100,Wage Arrears,
2021-05-10,"Workers protest against wage arrears of a mechanic shop in Nanjing, Jiangsu",Jiangsu,Nanjing,Services,,,Private Enterprise,Protest,1-100,Wage Arrears/Relocation or Closure,Government Intervention/Negotiations with Management
2021-05-10,"Workers protest against wage arrears of a hair salon after closure in Qingyuan, Guangdong",Guangdong,Qingyuan,Services,"Sports and leisure including spa, nail salon etc",,Private Enterprise,Strike/Protest,1-100,Wage Arrears/Relocation or Closure,Government Intervention
2021-05-08,"Taxi drivers protest against electric vehicle policy in Tangshan, Hebei",Hebei,Tangshan,Transport&Logistics,Taxi,,Public Institution,Protest,101-1000,Other,Government Intervention/Negotiations with Management
2021-05-08,"Workers protest against wage arrears of a decoration company in Kaili, Guizhou",Guizhou,Qiandongnan,Construction,Interior Decoration,,Private Enterprise,Protest,1-100,Wage Arrears,Government Intervention/Negotiations with Management
2021-05-08,"Workers go on strike to protest against name and management changes of an electronic factory, fired, in Shenzhen, Guangdong",Guangdong,Shenzhen,Manufacturing,Electronics,,Foreign,Strike/Protest,101-1000,Restructure or Merger/Management Supervision,Negotiations with Management
2021-05-07,"Workers protest against wage arrears of a construction project in Zhuhai, Guangdong",Guangdong,Zhuhai,Construction,Infrastructure,,SOE,Protest,1-100,Wage Arrears,
2021-05-07,"Workers go on strike to protest against wage arrears of a kindergarten in Jining, Shandong",Shandong,Jining,Education,Kindergarten,,Private Enterprise,Strike/Protest,1-100,Wage Arrears,Negotiations with Management
2021-05-07,"Workers protest against wage arrears of a gym in Nanjing, Jiangsu",Jiangsu,Nanjing,Services,"Sports and leisure including spa, nail salon etc",,Private Enterprise,Protest,1-100,Wage Arrears/Relocation or Closure,Negotiations with Management
2021-05-07,"Workers protest against wage arrears of an education agency after closure in Guangzhou, Guangdong",Guangdong,Guangzhou,Services,,,Private Enterprise,Protest,101-1000,Wage Arrears/Relocation or Closure,Government Intervention
2021-05-07,"Workers protest against wage arrears of a farm in Changjiang, Hainan",Hainan,,Services,,,Private Enterprise,Protest,1-100,Wage Arrears,Government Intervention/Negotiations with Management
2021-05-07,"Workers apply for arbitration of a tourism company in Zhongwei, Ningxia",Ningxia,Zhongwei,Services,,,Private Enterprise,Protest,1-100,Wage Arrears,Government Intervention/Negotiations with Management
2021-05-06,"Taxi drivers protest to demand for operational and property rights in Panzhihua, Sichuan",Sichuan,Panzhihua,Transport&Logistics,Taxi,,Private Enterprise,Sit-in/Protest,101-1000,Other,Government Intervention/Negotiations with Management
2021-05-06,"Workers protest against wage arrears of an elevator company in Huzhou, Zhejiang",Zhejiang,Huzhou,Services,,,Private Enterprise,Protest,1-100,Wage Arrears,Government Intervention/Negotiations with Management
2021-05-06,"Workers protest against wage arrears of a restaurant in Shaoyang, Hunan",Hunan,Shaoyang,Services,Hotels & catering,,Private Enterprise,Protest,1-100,Wage Arrears,Government Intervention/Negotiations with Management
2021-05-06,"Delivery workers go on strike in Xian, Shaanxi",Shanxi,"Xi,an",Transport&Logistics,Courier,,Private Enterprise,Strike/Protest,1-100,Wage Arrears,
2021-05-06,"Delivery workers go on strike in Shenzhen, Guangdong",Guangdong,Shenzhen,Transport&Logistics,Courier,,Private Enterprise,Strike/Protest,1-100,Wage Arrears,
2021-05-05,"Workers  protest wage arrears of an agriculture company in Longhui, Hunan",Hunan,Shaoyang,Other,Agriculture,,Private Enterprise,Protest,1-100,Wage Arrears,Government Intervention/Negotiations with Management
2021-05-04,"Workers protest against wage arrears of a construction site, mediated by the court, in Yunan, Guangdong",Guangdong,Yunfu,Construction,Residential Property,,Private Enterprise,Protest,101-1000,Wage Arrears,Government Intervention/Negotiations with Management
2021-05-03,"Workers protest against wage arrears of a construction project, mediated by police, in JInzhong, Shanxi",Shanxi,Jinzhong,Construction,Commercial Property,,Unknown,Protest,1-100,Wage Arrears,Government Intervention/Negotiations with Management/Police
2021-05-03,"Workers protest against wage arrears of a construction site in Changzhi, Shanxi",Shanxi,Changzhi,Construction,,,Private Enterprise,Protest,1-100,Wage Arrears,Government Intervention/Police
2021-05-03,"Workers protest against wage arrears of a construction site in Haozhou, Anhui",Anhui,Bozhou,Construction,Residential Property,,SOE,Protest,1-100,Wage Arrears,Negotiations with Management
2021-05-03,"Workers protest against wage arrears of a factory, seeks help from the court, Quanzhou, Fujian",Fujian,Quanzhou,Manufacturing,Apparel,,Private Enterprise,Protest,1-100,Wage Arrears,Government Intervention/Negotiations with Management
2021-05-02,"Workers of a gym protest against wage arrears in Changsha, Hunan",Hunan,Changsha,Services,"Sports and leisure including spa, nail salon etc",,Private Enterprise,Protest,1-100,Wage Arrears,Negotiations with Management
2021-05-01,"Workers protest against wage arrears of a construction project, mediated by police, in Heyang, Shaanxi",Shanxi,Weinan,Construction,,,Private Enterprise,Protest,1-100,Wage Arrears,Government Intervention/Negotiations with Management/Police
2021-04-30,"Workers protest against wage arrears of a factory by threatening to jump off a building, arrested, in Shangdu, Inner Mongolia",Neimenggu,Wulanchabu,Manufacturing,,,Private Enterprise,Protest/Threaten to Jump,1-100,Wage Arrears,Government Intervention/Negotiations with Management/Police/Arrests
2021-04-30,"Workers protest against wage arrears of a power plant in Zhenxiong, Yunnan",Yunnan,Zhaotong,Other,,,Unknown,Protest/Block Road,1-100,Wage Arrears,Government Intervention/Negotiations with Management/Police
2021-04-29,"Workers protest against wage arrears of  a construction site, apply for arbitration in Zoucheng, Shandong",Shandong,Jining,Construction,Infrastructure,,SOE,Protest,1-100,Wage Arrears,Negotiations with Management
2021-04-29,"Workers protest against wage arrears of a clothe company in Langzhong, Sichuan",Sichuan,Nanchong,Manufacturing,Apparel,,Private Enterprise,Protest,1-100,Wage Arrears,Government Intervention/Negotiations with Management
2021-04-28,"Workers protest against wage arrears of a Wanda mall project in Qingdao, Shandong",Shandong,Qingdao,Construction,Commercial Property,,Private Enterprise,Protest,1-100,Wage Arrears,Negotiations with Management
2021-04-28,"Workers protest against wage arrears of a factory in Wuhan, Hubei",Hubei,Wuhan,Manufacturing,,,Private Enterprise,Protest,1-100,Wage Arrears,Government Intervention/Negotiations with Management
2021-04-27,"Workers protest against wage arrears of a child education company in Fuzhou, Fujian",Fujian,Fuzhou,Education,Kindergarten,,Private Enterprise,Protest,1-100,Wage Arrears/Relocation or Closure,
2021-04-27,"Workers protest against wage arrears of a construction site, police arrived at scene, in Shangqiu, Henan",Henan,Shangqiu,Construction,,,SOE,Protest,1-100,Wage Arrears,Negotiations with Management/Police
2021-04-27,Workers protest against wage arrears of a tutoring school in Beijing,Beijing,Beijing,Education,"Continuing education, tutoring",,Private Enterprise,Protest,1-100,Wage Arrears/Relocation or Closure,
2021-04-27,"Taxi drivers protest to demand for operational rights, in Panzhihua, Sichuan",Sichuan,Panzhihua,Transport&Logistics,Taxi,,Private Enterprise,Protest,101-1000,Management Supervision/Other,Government Intervention
2021-04-27,"Taxi drivers protest to demand for operational rights in Yanji, Jilin",Jilin,Yanbian,Transport&Logistics,,,Private Enterprise,Protest,101-1000,Management Supervision/Other,Government Intervention/Negotiations with Management
2021-04-27,"Taxi drivers strike to protest against shared electric bikes in Fengcheng, Liaoning",Liaoning,Dandong,Transport&Logistics,Taxi,,Private Enterprise,Strike/Protest/Block Road,101-1000,Management Supervision/Other,Government Intervention/Negotiations with Management
2021-04-27,"Workers protest against wage arrears of a car retailer, apply for arbitration in Duyun, Guizhou",Guizhou,Qiannan,Services,Retail & wholesale,,Private Enterprise,Protest,1-100,Wage Arrears,Government Intervention/Negotiations with Management
2021-04-27,"Workers protest against wage arrears of a community center after closure in Dalian, Liaoning",Liaoning,Dalian,Services,"Sports and leisure including spa, nail salon etc",,SOE,Protest,1-100,Wage Arrears/Relocation or Closure,
2021-04-26,"Workers protest against wage arrears of a coal mine in Shuozhou, Shanxi",Shanxi,Shuozhou,Mining,Coal,,Unknown,Protest,1-100,Wage Arrears,Government Intervention
2021-04-26,Workers protest against wage arrears of a car rental company in Beijing,Beijing,Beijing,Services,Information technology,,Private Enterprise,Protest,101-1000,Wage Arrears,Negotiations with Management
2021-04-26,"Workers protest against wage arrears of a construction site in Lijiang, Yunnan",Yunnan,Lijiang,Construction,,,Private Enterprise,Protest,1-100,Wage Arrears,Government Intervention
2021-04-25,"Workers protest against wage and social insurances arrears of a shoe company in Qingdao, Shandong",Shandong,Qingdao,Manufacturing,Apparel,,Private Enterprise,Protest,1-100,Wage Arrears/Social Insurance,Government Intervention/Negotiations with Management
2021-04-25,"Workers protest against wage arrears of a construction site in Zhengzhou, Henan",Henan,Zhengzhou,Construction,Residential Property,,Private Enterprise,Protest,1-100,Wage Arrears,Negotiations with Management
2021-04-24,"Workers protest against wage arrears of a construction project in Fu, Shaanxi",Shanxi,"Yan,an",Construction,,,Private Enterprise,Protest,1-100,Wage Arrears,Government Intervention/Negotiations with Management
2021-04-23,"Taxi drivers protest against insurance policy of the company, had fights, in Enshi, Hubei",Hubei,enshishi,Transport&Logistics,Taxi,,Private Enterprise,Protest,101-1000,Other,Negotiations with Management/Violence against workers
2021-04-23,"Workers protest against wage arrears of a construction site in Zhengzhou, Henan",Henan,Zhengzhou,Construction,Residential Property,,SOE,Protest,1-100,Wage Arrears,Negotiations with Management
2021-04-23,"Workers protest against wage arrears of a plastic factory in Binchuan, Yunnan",Yunnan,dalishi,Manufacturing,Petrochemical Products,,Private Enterprise,Protest,1-100,Wage Arrears,Government Intervention/Negotiations with Management
2021-04-23,"Workers protest against wage arrears of a construction project, beaten, in Nanjing, Jiangsu",Jiangsu,Nanjing,Construction,,,Private Enterprise,Protest,1-100,Wage Arrears,Negotiations with Management/Violence against workers
2021-04-23,"Workers protest against wage arrears of a construction company, file for arbitration, in Nantong, Jiangsu",Jiangsu,Nantong,Construction,,,SOE,Protest,1-100,Wage Arrears,Negotiations with Management
2021-04-23,"Workers protest against wage arrears of a construction site, apply for arbitration, in Hanzhong, Shaanxi",Shanxi,Hanzhong,Construction,Commercial Property,,SOE,Protest,1-100,Wage Arrears,Government Intervention/Negotiations with Management
2021-04-23,"Workers protest against wage arrears of a coal mine in Qianxi, Guizhou",Guizhou,Bijie,Mining,Coal,,Private Enterprise,Protest,1-100,Wage Arrears,Negotiations with Management
2021-04-23,"Workers protest against wage arrears of a restaurant, mediated by police, in Zhanjiang, Guangdong",Guangdong,Zhanjiang,Services,Hotels & catering,,Private Enterprise,Protest,1-100,Wage Arrears,Government Intervention/Negotiations with Management/Police
2021-04-23,"Workers protest against wage arrears of a medical facility after closure in Hohhot, Inner Mongolia",Neimenggu,Hohhot,Services,Medical facilities,,Private Enterprise,Protest,1-100,Wage Arrears/Relocation or Closure/Social Insurance,Negotiations with Management
2021-04-22,"Workers protest against wage arrears of a construction site, got beaten, in Changchun, Jilin",Jilin,Changchun,Construction,Commercial Property,,Private Enterprise,Protest,1-100,Wage Arrears,Negotiations with Management/Police/Violence against workers
2021-04-22,"Workers protest against wage arrears of a skyscraper project in Jinzhong, Shanxi",Shanxi,Jinzhong,Construction,Commercial Property,,SOE,Protest,1-100,Wage Arrears,Government Intervention
2021-04-22,"Workers protest against wage arrears of a construction project, contact media, in Yanan, Shaanxi",Shanxi,"Yan,an",Construction,Commercial Property,,SOE,Protest,101-1000,Wage Arrears,
2021-04-22,"Workers protest against wage arrears of a restaurant after quitting, beaten, in Nantong, Jiangsu",Jiangsu,Nantong,Services,Hotels & catering,,Private Enterprise,Protest,1-100,Wage Arrears,Negotiations with Management/Police/Violence against workers
2021-04-21,"Taxi drivers protest against policy of enforcing switch to new electric vehicles in Jinzhong, Shanxi",Shanxi,Jinzhong,Transport&Logistics,Taxi,,Public Institution,Protest,101-1000,Management Supervision,Negotiations with Management
2021-04-21,"Workers protest against wage arrears of a construction site in Zunyi, Guizhou",Guizhou,Zunyi,Construction,Residential Property,,Private Enterprise,Protest,1-100,Wage Arrears,
2021-04-21,"Workers protest against wage arrears of a construction site, mediated by the court, in Zhuozi, Inner Mongolia",Neimenggu,Wulanchabu,Construction,,,Unknown,Protest,1-100,Wage Arrears,Government Intervention/Negotiations with Management
2021-04-21,"Workers protest against wage arrears of a construction site, attempted to jump off building in Wuhe, Anhui",Anhui,Bengbu,Construction,,,Unknown,Protest/Threaten to Jump,1-100,Wage Arrears,Government Intervention/Negotiations with Management/Police
2021-04-20,"Workers protest against wage arrears of a hotel, mediated, in Beihai, Guangxi",Guangxi,Beihai,Services,Hotels & catering,,Private Enterprise,Protest,1-100,Wage Arrears,Government Intervention/Negotiations with Management
2021-04-19,"Workers protest against wage arrears of a PPP tech construction project in Tongren, Guizhou",Guizhou,tongrenshi,Construction,Commercial Property,,SOE,Protest,1-100,Wage Arrears,
2021-04-19,"Workers protest against wage arrears of a construction project in Zhenyuan, Guizhou",Guizhou,Qiandongnan,Construction,Infrastructure,,Private Enterprise,Protest,1-100,Wage Arrears,Negotiations with Management
2021-04-19,Workers protest against wage arrears of a construction project in Tianjin,Beijing,Beijing,Construction,Residential Property,,Public Institution,Protest,1-100,Wage Arrears,
2021-04-18,"Taxi drivers protest against shared electric bikes by confiscating them, in Jingmen, Hubei",Hubei,Jingmen,Transport&Logistics,Taxi,,Private Enterprise,Protest,101-1000,Management Supervision/Other,Government Intervention
2021-04-17,"Workers protest against wage arrears of a construction site, mediated by the court, in Dongming, Shandong",Shandong,Heze,Construction,,,Private Enterprise,Protest,1-100,Wage Arrears,Government Intervention/Negotiations with Management
2021-04-16,"Workers protest against wage arrears of  a construction site, arrested by police, in Lanzhou, Gansu",Gansu,Lanzhou,Construction,,,Unknown,Protest,1-100,Wage Arrears,Negotiations with Management/Police/Arrests
2021-04-16,"Workers protest against wage arrears of a project by blocking the road in Nanning, Guangxi",Guangxi,Nanning,Construction,,,Unknown,Protest/Block Road,1-100,Wage Arrears,Government Intervention/Police
2021-04-16,"Workers protest against wage arrears of a construction site, mediated by the court in Mengjin, Henan",Henan,Luoyang,Construction,,,SOE,Protest,1-100,Wage Arrears,Government Intervention/Negotiations with Management
2021-04-15,"Workers protest against wage arrears of  a construction project, mediation by the local government in Shenzhen, Guangdong",Guangdong,Shenzhen,Construction,Commercial Property,,Unknown,Protest,1-100,Wage Arrears,Government Intervention/Negotiations with Management
2021-04-14,"Workers protest against wage arrears of a construction site in Yancheng, Jiangsu",Jiangsu,Yancheng,Construction,,,Private Enterprise,Protest,1-100,Wage Arrears,
2021-04-14,"Workers protest against wage arrears of a construction site in Chengdu, Sichuan",Sichuan,Chengdu,Construction,,,Private Enterprise,Protest,1-100,Wage Arrears,
2021-04-14,"Taxi drivers protest against shared electric bikes in Panjin, Liaoning",Liaoning,Panjin,Transport&Logistics,Taxi,,Private Enterprise,Protest,101-1000,Management Supervision/Other,Government Intervention
2021-04-14,"Workers protest against wage arrears of a construction site in Pingtan, Fujian",Fujian,Fuzhou,Construction,,,Private Enterprise,Protest,1-100,Wage Arrears,Government Intervention
2021-04-14,"Workers protest against wage arrears of  a construction project in Hejiang, Sichuan",Sichuan,Luzhou,Construction,,,Private Enterprise,Protest,1-100,Wage Arrears,Negotiations with Management
2021-04-13,"Workers protest against wage arrears of a construction site in Suzhou, Jiangsu",Jiangsu,Suzhou,Construction,Commercial Property,,SOE,Protest,1-100,Wage Arrears,Negotiations with Management
2021-04-13,"Taxi drivers protest to demand for release of detained lawyers and drivers after winning a lawsuit for operational rights in Nenjiang, Heilongjiang",Heilongjiang,Heihe,Transport&Logistics,Taxi,,Private Enterprise,Protest,101-1000,Management Supervision/Other,Police/Arrests
2021-04-13,"Workers protest against wage arrears of a construction site in Zhangpu, Fujian",Fujian,Zhangzhou,Construction,Commercial Property,,SOE,Protest,1-100,Wage Arrears,
2021-04-13,"Workers protest against wage arrears of project, mediated by the court in Xinyi, Guangdong",Guangdong,Maoming,Construction,Interior Decoration,,Private Enterprise,Protest,1-100,Wage Arrears,Government Intervention/Negotiations with Management
2021-04-13,"Workers protest against wage arrears of a construction project in Yumen, Gansu",Gansu,Jiuquan,Construction,Commercial Property,,SOE,Protest,1-100,Wage Arrears,
2021-04-13,"Workers protest against wage arrear of a furniture factory in Jiujiang, Jiangxi",Jiangxi,Jiujiang,Manufacturing,,,Private Enterprise,Protest,1-100,Wage Arrears,Government Intervention/Negotiations with Management/Police
2021-04-13,"Workers protest against wage arrears of a hospital, mediated by the court, in Changchun, Jilin",Jilin,Changchun,Services,Medical facilities,,Private Enterprise,Protest,1-100,Wage Arrears/Relocation or Closure,Government Intervention/Negotiations with Management
2021-04-12,"Workers protest against wage arrears of a construction site in Beihai, Guangxi",Guangxi,Beihai,Construction,,,SOE,Protest,1-100,Wage Arrears,
2021-04-12,"Taxi drivers protest against subsidies in arrears in Jinzhong, Shanxi",Shanxi,Jinzhong,Transport&Logistics,Taxi,,Private Enterprise,Protest,101-1000,Compensation/Other,Government Intervention
2021-04-12,"Workers protests against wage arrears of a construction project, mediated by the labor bureau, in Putian, Fujian",Fujian,Putian,Construction,,,Unknown,Protest,1-100,Wage Arrears,Government Intervention/Negotiations with Management
2021-04-12,"Workers protest against wage arrears of a construction company in Qu, Sichuan",Sichuan,Dazhou,Construction,Commercial Property,,Private Enterprise,Protest,1-100,Wage Arrears,Government Intervention/Negotiations with Management
2021-04-12,"Workers protest against wage arrears of a mall in Dalian, Liaoning",Liaoning,Dalian,Services,Property management & real estate,,Private Enterprise,Protest,1-100,Wage Arrears,Government Intervention/Negotiations with Management
2021-04-10,"Workers protest against wage arrears of a construction company in Bijie, Guizhou",Guizhou,bijieshi,Construction,Residential Property,,Private Enterprise,Protest,1-100,Wage Arrears,Negotiations with Management
2021-04-09,"Taxi drivers protest against App drivers by striking, in Taihe, Anhui",Anhui,Fuyang,Transport&Logistics,Taxi,,Private Enterprise,Strike/Protest/Block Road,101-1000,Management Supervision/Other,
2021-04-09,"Taxi drivers protest against illegal cabs in Lintao, Gansu",Gansu,Dingxi,Transport&Logistics,Taxi,,Private Enterprise,Protest,101-1000,Management Supervision/Other,Government Intervention
2021-04-09,"Workers protest against wage arrears of a construction site in Juancheng, Shandong",Shandong,Heze,Construction,,,Private Enterprise,Protest,1-100,Wage Arrears,Negotiations with Management
2021-04-08,"Workers protest against wage arrears of a construction site in Taizhou, Jiangsu",Jiangsu,Taizhou,Construction,,,Private Enterprise,Protest,1-100,Wage Arrears,Government Intervention/Negotiations with Management/Police
2021-04-07,"Taxi drivers protest against shared electric bikes y confiscating them, in Panjin, Liaoning",Liaoning,Panjin,Transport&Logistics,Taxi,,Private Enterprise,Protest,101-1000,Management Supervision/Other,Government Intervention
2021-04-07,"Taxi drivers protest to demand for operational rights in Anyang, Henan",Henan,Anyang,Transport&Logistics,Taxi,,Private Enterprise,Protest,101-1000,Management Supervision,Government Intervention
2021-04-07,"Workers protest against wage arrears of a construction site, threatened to jump off building, in Pingdingshan, Henan",Henan,Pingdingshan,Construction,,,Unknown,Protest/Threaten to Jump,1-100,Wage Arrears,Government Intervention/Negotiations with Management
2021-04-06,"Workers protest against wage arrears of a construction project in Ningnan, Sichuan",Sichuan,Liangshan,Construction,Infrastructure,,SOE,Protest,1-100,Wage Arrears,
2021-04-04,"Taxi drivers protest to demand for lower gas price in Yanji, Jilin",Jilin,Yanbian,Transport&Logistics,Taxi,,Private Enterprise,Protest,101-1000,Management Supervision/Other,
2021-04-03,"Workers protest against wages and social insurances in arrears of a hospital in Xian, Shaanxi",Shanxi,"Xi,an",Services,Medical facilities,,Private Enterprise,Protest,1-100,Wage Arrears/Social Insurance,
2021-04-03,"Workers protest against wage arrears of  a construction site in Tianshui, Gansu",Gansu,Tianshui,Construction,Infrastructure,,SOE,Protest,1-100,Wage Arrears,
2021-04-02,"Taxi drivers protest to demand for lower fees in Hefei, Anhui",Anhui,Hefei,Transport&Logistics,Taxi,,Private Enterprise,Protest,101-1000,Other,
2021-04-02,"Taxi drivers block Didi drivers, arrested, in Zoucheng, Shandong",Shandong,Jining,Transport&Logistics,Taxi,,Private Enterprise,Block Road,1-100,Other,Government Intervention/Police/Arrests
2021-04-02,"Workers protest against wage arrears of a forestry company. police intervened, in Yingshan, Hubei",Hubei,Huanggang,Other,Agriculture,,Private Enterprise,Protest,1-100,Wage Arrears,Government Intervention/Negotiations with Management/Police
2021-04-01,"Workers protest against wage arrears of a construction site in Nanjing, Jiangsu",Jiangsu,Nanjing,Construction,,,SOE,Protest,1-100,Wage Arrears,Negotiations with Management
2021-03-30,"Workers seek help of wage arrears of a construction site on Weibo, in Jiaxing, Zhejiang",Zhejiang,Jiaxing,Construction,,,SOE,Protest,1-100,Wage Arrears,
2021-03-30,"Teachers protest against wage arrears of a high school in Jilin, Jilin",Jilin,Jilin,Education,Primary and secondary school,,SOE,Protest,101-1000,Wage Arrears,Negotiations with Management
2021-03-30,"Workers protest against wage arrears of a construction site, beaten, in Shanghang, Fujian",Fujian,Longyan,Construction,,,SOE,Protest,1-100,Wage Arrears,Violence against workers
2021-03-30,"Taxi drivers protest to demand for lower rents in Guangzhou, Guangdong",Guangdong,Guangzhou,Transport&Logistics,Taxi,,Private Enterprise,Protest,101-1000,Other,Government Intervention/Negotiations with Management/Police
2021-03-29,"Workers protest against wage arrears of a construction project by threatening to jump off building in Shenzhen, Guangdong",Guangdong,Shenzhen,Construction,Commercial Property,,Private Enterprise,Protest/Threaten to Jump,1-100,Wage Arrears,
2021-03-29,"Taxi drivers file for collective lawsuit to demand for operational and property rights in Zhangzhou, Fujian",Fujian,Zhangzhou,Transport&Logistics,Taxi,,Other,Protest,1-100,Management Supervision/Other,Government Intervention
2021-03-28,"Workers protest against wage arrears of a construction project in Suzhou, Anhui",Anhui,Suzhou,Construction,Residential Property,,SOE,Protest,1-100,Wage Arrears,Negotiations with Management
2021-03-27,"Taxi drivers protest against high fees charged by the company in Changsha, Hunan",Hunan,Changsha,Transport&Logistics,Taxi,,Private Enterprise,Strike/Protest,101-1000,Management Supervision/Other,Negotiations with Management
2021-03-25,"Workers protest against wage arrears of a clothe factory, seek help from government",Henan,Puyang,Manufacturing,Apparel,,Private Enterprise,Protest,1-100,Wage Arrears,Government Intervention
2021-03-24,"Taxi drivers demand for the ownership of vehicles by file lawsuits in Gushi, Henan",Henan,Xinyang,Transport&Logistics,Taxi,,Private Enterprise,Protest,1-100,Management Supervision/Other,Government Intervention/Negotiations with Management
2021-03-23,"Workers protest against wage arrears of a construction site, seek help of the government in Lianyungang, Jiangsu",Jiangsu,Lianyungang,Construction,Residential Property,,Private Enterprise,Protest,1-100,Wage Arrears,
2021-03-23,"Security guards protest against wage arrears after bankruptcy in Jiujiang, Jiangxi",Jiangxi,Jiujiang,Services,Property management & real estate,,Private Enterprise,Protest,1-100,Wage Arrears/Relocation or Closure,Government Intervention/Negotiations with Management
2021-03-22,"Taxi drivers sue company to demand for ownership rights, in Zhangzhou, Fujian",Fujian,Zhangzhou,Transport&Logistics,Taxi,,Private Enterprise,Protest,1-100,Other,Government Intervention
2021-03-22,"Taxi drivers protest to demand for refund of fees and change of pricing policy in Pingdingshan, Henan",Henan,Pingdingshan,Transport&Logistics,Taxi,,Private Enterprise,Protest,101-1000,Pay Increase/Management Supervision/Other,
2021-03-20,"Workers protest against wage arrears of a construction site in Nanning, Guangxi",Guangxi,Nanning,Construction,,,Private Enterprise,Protest,1-100,Wage Arrears,
2021-03-20,"Workers protest against wage arrears after closure of a hospital in Meizhou, Guangdong",Guangdong,Meizhou,Services,Medical facilities,,Private Enterprise,Protest,1-100,Wage Arrears/Relocation or Closure,Negotiations with Management
2021-03-19,"Taxi drivers protest against electric vehicles  in Tangshan, Hebei",Hebei,Tangshan,Transport&Logistics,Taxi,,Private Enterprise,Protest,101-1000,Other,
2021-03-17,"Construction workers strike to protest against wage arrears of a construction site in Xian, Shaanxi",Shanxi,"Xi,an",Construction,Residential Property,,SOE,Strike/Protest,1-100,Wage Arrears,
2021-03-17,"More than a thousand taxi drivers hunt for illegal cabs in Cangzhou, Hebei",Hebei,Cangzhou,Transport&Logistics,Taxi,,Private Enterprise,Protest,1001-10000,Other,Government Intervention
2021-03-17,"Workers protest against wage arrears of a construction site in Xian,  Shaanxi",Shanxi,"Xi,an",Construction,Commercial Property,,Private Enterprise,Protest,1-100,Wage Arrears,Government Intervention/Negotiations with Management
2021-03-17,"Workers protest against wage arrears of a construction site in Qingdao, Shandong",Shandong,Qingdao,Construction,Commercial Property,,SOE,Protest,1-100,Wage Arrears,Negotiations with Management
2021-03-16,"Workers protest against wage arrears of a construction site, police intervened, in Ganzhou, Jiangxi",Jiangxi,Ganzhou,Construction,Residential Property,,Unknown,Protest,1-100,Wage Arrears,Government Intervention/Negotiations with Management/Police
